SG Gross Revenue,SG Downloads,Inclusion Reason,Key Details,Game Title,English Display Title,Original Title,Detected Language,Machine English Title,Manual English Title,Translation Source,Translation Confidence,Translation Review Status,Translation Note,Platform,Publisher,Developer,Release Date,Genre,Top 3 Markets,SG App Store Ranks,unified_app_id,run_timestamp_utc,report_start_date,report_end_date,ranking_date,sensor_tower_effective_end_date,meeting_date,report_classification,steamdb_peak,steamdb_reviews,steam_url,mobile_storefront_url,console_source_url,release_date_source_url,source_urls,publisher_source_url,genre_source_url,comparable_game,comparison_reason,comparison_source_url,Continuity Note,Continuity Brief Href,Continuity,registry_game_id
200707.99,11626,Included as a new SG commercial signal because prior revenue was $0 and current SG revenue crossed the report threshold.,"Licensed card RPG based on Battle Through the Heavens, built around collecting characters and formation-based battles.",Battle Through the Heavens M: Rise of the Young,Battle Through the Heavens M: Rise of the Young,鬥破蒼穹M：少年崛起--動畫正版授權,,,,,,,,mobile,JOYSTAR GAME INFORMATION TECHNOLOGY CO. LIMITED,unconfirmed,2026-08-10,Card RPG; RPG,"Top Mkts: MY ($310,390 / 68,997 DL) || SG ($200,708 / 11,626 DL)",SG App Store Ranks: iOS (DL #N/A / Rev #N/A) || Android (DL #39 / Rev #14),6a239ece3e5263a2e4a9193e,,2026-08-18,2026-09-05,,,2026-09-08,mobile_only,,,,https://play.google.com/store/apps/details?id=com.joystar.btthgp,,unconfirmed,https://play.google.com/store/apps/details?id=com.joystar.btthgp,https://play.google.com/store/apps/details?id=com.joystar.btthgp,https://play.google.com/store/apps/details?id=com.joystar.btthgp,,,,,,,
15099.47,5678,Included as a new SG commercial signal because prior revenue was $0 and current SG revenue crossed the report threshold.,Civilization-building simulation about growing a settlement from a primitive tribe through successive eras.,Pop Epoch: Civilization Tycoon,Pop Epoch: Civilization Tycoon,Pop Epoch: Civilization Tycoon,,,,,,,,mobile,Nexwave Tech Limited,unconfirmed,2025-11-25,Simulation; Resource Management,"Top Mkts: SG ($15,099 / 5,678 DL) || PH ($12,855 / 23,849 DL) || MY ($6,605 / 8,260 DL)",SG App Store Ranks: iOS (DL #136 / Rev #49) || Android (DL #20 / Rev #67),690981af75065f6cf02f792e,,2026-08-18,2026-09-05,,,2026-09-08,mobile_only,,,,https://apps.apple.com/us/app/pop-epoch-civilization-tycoon/id6754275296,,unconfirmed,https://apps.apple.com/us/app/pop-epoch-civilization-tycoon/id6754275296,https://apps.apple.com/us/app/pop-epoch-civilization-tycoon/id6754275296,https://apps.apple.com/us/app/pop-epoch-civilization-tycoon/id6754275296,,,,,,,
11691.27,11673,Included as a new SG commercial signal because prior revenue was $0 and current SG revenue crossed the report threshold.,"Cross-platform martial-arts MMORPG with class progression, open-world PvP, guild battles and boss content.",Yulgang W,Yulgang W,Yulgang W,,,,,,,,mobile,Efun Global Company Limited,unconfirmed,2026-08-26,MMORPG; Action RPG,"Top Mkts: TH ($331,850 / 275,694 DL) || ID ($19,121 / 42,101 DL) || MY ($18,066 / 10,400 DL) || SG ($11,691 / 11,673 DL)",SG App Store Ranks: iOS (DL #9 / Rev #11) || Android (DL #2 / Rev #17),6a66ee26f81a169705c80681,,2026-08-18,2026-09-05,,,2026-09-08,mobile_only,,,,https://apps.apple.com/id/app/yulgang-w/id6756002784,,unconfirmed,https://apps.apple.com/id/app/yulgang-w/id6756002784,https://apps.apple.com/id/app/yulgang-w/id6756002784,https://apps.apple.com/id/app/yulgang-w/id6756002784,,,,,,,
11662.91,2690,Included as a new SG commercial signal because prior revenue was $0 and current SG revenue crossed the report threshold.,"Three Kingdoms tactical RPG using grid-based battles, hero positioning and historical campaign scenarios.",Three Kingdoms: A View of the Sea,Three Kingdoms: A View of the Sea,三國觀滄海,,,,,,,,mobile,TBG LIMITED,unconfirmed,2026-06-25,Tactical RPG; Turn-Based Strategy,"Top Mkts: SG ($11,663 / 2,690 DL) || MY ($5,163 / 3,960 DL)",SG App Store Ranks: iOS (DL #N/A / Rev #N/A) || Android (DL #N/A / Rev #N/A),6a3c8227514bbdd3751f527a,,2026-08-18,2026-09-05,,,2026-09-08,mobile_only,,,,https://apps.apple.com/hk/app/%E4%B8%89%E5%9C%8B%E8%A7%80%E6%BB%84%E6%B5%B7/id6760700928,,unconfirmed,https://apps.apple.com/hk/app/%E4%B8%89%E5%9C%8B%E8%A7%80%E6%BB%84%E6%B5%B7/id6760700928 | https://www.sggch.com/,https://www.sggch.com/,https://www.sggch.com/,,,,,,,
11048.07,2929,Included as a new SG commercial signal because prior revenue was $0 and current SG revenue crossed the report threshold.,"School-themed MMORPG with class-based combat, quest progression, auto-hunting and PvP battles.",RAN - Royal Academy Nations,RAN - Royal Academy Nations,RAN - Royal Academy Nations,,,,,,,,mobile,Murphy John Ong,unconfirmed,2026-07-29,MMORPG; Action RPG,"Top Mkts: MY ($55,690 / 11,795 DL) || PH ($44,502 / 48,971 DL) || TH ($30,769 / 25,213 DL) || SG ($11,048 / 2,929 DL)",SG App Store Ranks: iOS (DL #151 / Rev #47) || Android (DL #N/A / Rev #37),6a6ad4ef76f693f0bc3df7ff,,2026-08-18,2026-09-05,,,2026-09-08,mobile_only,,,,https://play.google.com/store/apps/details?id=com.ran.projectr,,unconfirmed,https://play.google.com/store/apps/details?id=com.ran.projectr | https://projectr.games/,https://projectr.games/,https://projectr.games/,,,,,,,
7449.61,2864,Included as a new SG commercial signal because prior revenue was $0 and current SG revenue crossed the report threshold.,"Idle RPG spin-off of Dungeon and Fighter, combining character collection, dungeon progression and AFK rewards.",Arad: Idle RPG,Arad: Idle RPG,地下城與勇士 : 放置RPG,,,,,,,,mobile,NEXON Company,unconfirmed,2026-08-14,Idle RPG; Action RPG,"Top Mkts: SG ($7,450 / 2,864 DL) || MY ($2,911 / 5,842 DL)",SG App Store Ranks: iOS (DL #N/A / Rev #N/A) || Android (DL #N/A / Rev #N/A),6a8e421ef403c09c52273f9f,,2026-08-18,2026-09-05,,,2026-09-08,mobile_only,,,,https://play.google.com/store/apps/details?id=com.nexon.dfidle,,unconfirmed,https://play.google.com/store/apps/details?id=com.nexon.dfidle,https://play.google.com/store/apps/details?id=com.nexon.dfidle,https://play.google.com/store/apps/details?id=com.nexon.dfidle,,,,,,,
4780.14,8467,Included as a new SG commercial signal because prior revenue was $0 and current SG revenue crossed the report threshold.,"Multiplayer open-world action RPG focused on co-op heists, vehicle play, gang conflicts and building an underworld empire.",Gangstar Mirage City,Gangstar Mirage City,Gangstar Mirage City,,,,,,,,mobile,Level Infinite,unconfirmed,2026-04-20,Open World; Action RPG,"Top Mkts: TH ($142,661 / 470,905 DL) || MY ($140,329 / 360,498 DL) || ID ($86,191 / 1,940,134 DL) || SG ($4,780 / 8,467 DL)",SG App Store Ranks: iOS (DL #N/A / Rev #N/A) || Android (DL #N/A / Rev #N/A),66f136d927e2c12894081fa7,,2026-08-18,2026-09-05,,,2026-09-08,mobile_only,,,,https://apps.apple.com/ph/app/gangstar-mirage-city-online/id6472700792,,unconfirmed,https://apps.apple.com/ph/app/gangstar-mirage-city-online/id6472700792 | https://www.levelinfinite.com/news/gangstar-mirage-city-is-live-in-select-regions/,https://www.levelinfinite.com/news/gangstar-mirage-city-is-live-in-select-regions/,https://www.levelinfinite.com/news/gangstar-mirage-city-is-live-in-select-regions/,,,,,,,
3113.86,837,Included as a new SG commercial signal because prior revenue was $0 and current SG revenue crossed the report threshold.,"Three Kingdoms strategy RPG for Southeast Asia, built around hero collection, team formation and campaign progression.",Three Kingdoms: Throne War SEA,Three Kingdoms: Throne War SEA,Three Kingdoms: Throne War SEA,,,,,,,,mobile,Wayelite Entertainment Tech,unconfirmed,2026-09-02,Strategy; RPG,"Top Mkts: SG ($3,114 / 837 DL) || MY ($2,368 / 450 DL) || TH ($89 / 14 DL)",SG App Store Ranks: iOS (DL #184 / Rev #108) || Android (DL #N/A / Rev #N/A),6a6d156fc78ed301e1a2c44c,,2026-08-18,2026-09-05,,,2026-09-08,mobile_only,,,,https://apps.apple.com/ph/app/three-kingdoms-throne-war-sea/id6758926859,,unconfirmed,https://apps.apple.com/ph/app/three-kingdoms-throne-war-sea/id6758926859,https://apps.apple.com/ph/app/three-kingdoms-throne-war-sea/id6758926859,https://apps.apple.com/ph/app/three-kingdoms-throne-war-sea/id6758926859,,,,,,,
,,"Co-op physics-based fishing simulator where players catch fish, sell their haul and upgrade gear amid chaotic challenges.","Co-op physics-based fishing simulator where players catch fish, sell their haul and upgrade gear amid chaotic challenges.",How to Fish,How to Fish,How to Fish,,,,,,,,PC,Dazed Games,unconfirmed,2026-08-20,Simulation,,,4001890,,,,,,2026-09-08,pc_only,373971,54861,https://store.steampowered.com/app/4001890/,,,https://store.steampowered.com/app/4001890/,https://store.steampowered.com/app/4001890/,https://store.steampowered.com/app/4001890/,https://store.steampowered.com/app/4001890/,,,,,,,
,,"Action game set in Edo-period Kyoto, centred on sword combat and supernatural foes.","Action game set in Edo-period Kyoto, centred on sword combat and supernatural foes.",Onimusha: Way of the Sword,Onimusha: Way of the Sword,Onimusha: Way of the Sword,,,,,,,,PC,CAPCOM,unconfirmed,2026-09-04,Action RPG,,,2638890,,,,,,2026-09-08,pc_only,85081,8393,https://store.steampowered.com/app/2638890/,,https://www.playstation.com/en-us/games/onimusha-way-of-the-sword/,https://store.steampowered.com/app/2638890/,https://store.steampowered.com/app/2638890/,https://store.steampowered.com/app/2638890/,https://store.steampowered.com/app/2638890/,,,,,,,
